FID,Shape,AREA,NEW,FULL,Area,District,2018ppl,2018income,2018power,2018datanum,2019ppl,2019income,2019power,2019datanum,2020ppl,2020income,2020power,2020datanum
199,Polygon,132466.9166,6300600008,臺北市大同區光能里,大同區,光能里,5353,1918420,14105,6,5344,1584448,12284,5,5275,1632218,3932,4
122,Polygon,601884.4748,6300600024,臺北市大同區老師里,大同區,老師里,6089,1611169,6362,3,6011,1264210,3500,8,5931,1311910,4509,8
140,Polygon,245982.4685,6300600022,臺北市大同區至聖里,大同區,至聖里,8280,2716052,1481192,"1,373",8186,2295100,1406522,"1,375",7978,2260274,1536337,"1,378"
177,Polygon,92409.07631,6300600010,臺北市大同區延平里,大同區,延平里,4317,1400095,1747981,"1,908",4290,1101994,1684251,"1,909",4214,1079649,1818409,"1,908"
134,Polygon,185349.8114,6300600026,臺北市大同區保安里,大同區,保安里,4233,1746331,33356,8,4154,2020485,33420,8,3998,1632842,27954,7
166,Polygon,213037.3708,6300600012,臺北市大同區南芳里,大同區,南芳里,4284,1339824,1584882,"1,558",4254,1040845,1511244,"1,545",4138,1043050,1629662,"1,540"
216,Polygon,120453.9545,6300600003,臺北市大同區建功里,大同區,建功里,4895,1887316,1219838,"1,400",4906,1656959,1152764,"1,392",4823,1574479,1222482,"1,395"
230,Polygon,140008.5073,6300600002,臺北市大同區建明里,大同區,建明里,3457,1338101,2150707,"2,426",3397,1131088,2106080,"2,419",3309,1241419,2110140,"2,406"
219,Polygon,127971.9716,6300600004,臺北市大同區建泰里,大同區,建泰里,3943,1584898,1882653,"1,744",3895,1389613,1775844,"1,729",3885,1363147,1919453,"1,689"
201,Polygon,155550.3019,6300600007,臺北市大同區星明里,大同區,星明里,6457,2488461,650221,624,6376,2265278,614746,624,6301,2248448,659090,623
120,Polygon,443137.1249,6300600025,臺北市大同區重慶里,大同區,重慶里,6789,2385704,19685,5,6710,1985538,19432,5,6799,2134302,19987,6
145,Polygon,128629.5663,6300600017,臺北市大同區國順里,大同區,國順里,2824,579029,845719,907,2739,406940,774308,852,2653,411597,836126,852
143,Polygon,117452.8509,6300600018,臺北市大同區國慶里,大同區,國慶里,4572,1830288,649838,589,4607,1551251,612011,587,4705,1583274,662651,584
146,Polygon,66614.93571,6300600019,臺北市大同區揚雅里,大同區,揚雅里,4518,1144205,1340001,"1,402",4580,978164,1272582,"1,397",4454,964854,1390676,"1,400"
147,Polygon,109788.3427,6300600020,臺北市大同區斯文里,大同區,斯文里,5215,1650872,1916212,"1,930",4894,1376874,1806269,"1,927",4747,1228182,1930569,"1,926"
159,Polygon,111227.6518,6300600014,臺北市大同區景星里,大同區,景星里,2803,626610,939347,"1,023",2746,475511,878936,"1,021",2712,469672,938020,"1,007"
203,Polygon,103298.5964,6300600006,臺北市大同區朝陽里,大同區,朝陽里,4563,1834549,4246,3,4474,1669067,10378,5,4433,1587733,13081,8
158,Polygon,120230.6779,6300600015,臺北市大同區隆和里,大同區,隆和里,3282,980551,1217438,"1,165",3212,817199,1163544,"1,160",3363,1013770,1247190,"1,156"
157,Polygon,151336.1469,6300600016,臺北市大同區蓬萊里,大同區,蓬萊里,5077,2052716,1983270,"1,987",5064,1745555,1883108,"1,976",4996,1701049,2052904,"1,971"
139,Polygon,227309.0039,6300600021,臺北市大同區鄰江里,大同區,鄰江里,6662,1890362,145062,126,6549,1570926,136281,128,6560,1412375,141910,128
181,Polygon,216288.5329,6300600011,臺北市大同區雙連里,大同區,雙連里,9903,3071335,603097,563,9837,2489027,566937,558,9671,2803663,580633,548
401,Polygon,191477.4755,6300300043,臺北市大安區大學里,大安區,大學里,8817,4705534,3544161,"3,130",8869,4250712,3390840,"3,114",8797,4205770,3857618,"3,110"
288,Polygon,211158.2587,6300300005,臺北市大安區仁愛里,大安區,仁慈里,5417,5964054,2349137,"1,760",5380,5920888,2247333,"1,758",5267,5964049,2433356,"1,757"
307,Polygon,122040.5886,6300300002,臺北市大安區仁慈里,大安區,仁愛里,5826,4078959,3636031,"2,050",5871,3301630,3421132,"2,035",5819,3341788,3587398,"2,025"
396,Polygon,106572.1341,6300300013,臺北市大安區古風里,大安區,古風里,4294,3330716,606315,536,4353,2241634,559403,535,4287,2345754,683847,534
374,Polygon,223009.3713,6300300014,臺北市大安區古莊里,大安區,古莊里,7456,3977293,33085,13,7563,3675939,33611,12,7647,3679256,33362,14
292,Polygon,107611.6142,6300300052,臺北市大安區正聲里,大安區,正聲里,5017,4349429,2277417,"1,698",4923,3634928,2305784,"1,690",4810,3685411,2527781,"1,683"
305,Polygon,259810.9712,6300300004,臺北市大安區民炤里,大安區,民炤里,8415,8284604,3991187,"3,088",8454,7839933,3729345,"3,086",8396,6901427,4172131,"3,084"
262,Polygon,344875.5116,6300300007,臺北市大安區民輝里,大安區,民輝里,6986,6805147,179179,101,6844,6393329,200219,108,6735,6149518,183935,108
325,Polygon,122323.7293,6300300018,臺北市大安區永康里,大安區,永康里,4049,2340381,1554439,"1,303",4036,2116148,1458348,"1,303",3990,2102044,1602975,"1,298"
319,Polygon,122789.2183,6300300019,臺北市大安區光明里,大安區,光明里,3960,3791567,1393344,"1,225",3995,4070907,1320878,"1,227",4082,3891090,1446299,"1,222"
265,Polygon,200100.6479,6300300010,臺北市大安區光武里,大安區,光武里,7767,4255713,23162,9,7642,3786820,30316,11,7474,3985468,27245,14
312,Polygon,137545.1444,6300300056,臺北市大安區光信里,大安區,光信里,8101,4596455,2028352,"1,551",7997,4052712,2021448,"1,554",7898,4249239,2206085,"1,553"
360,Polygon,131288.5917,6300300035,臺北市大安區全安里,大安區,全安里,4504,3012821,16201,6,4437,3152895,20833,7,4404,2816718,22673,9
332,Polygon,134672.9495,6300300029,臺北市大安區住安里,大安區,住安里,5340,3028312,1666026,"1,670",5253,2942574,1580350,"1,638",5102,2675256,1688595,"1,621"
271,Polygon,121859.4347,6300300055,臺北市大安區車層里,大安區,車層里,6538,4678164,36261,15,6515,4076314,35311,15,6390,3910569,39464,19
306,Polygon,298034.4391,6300300003,臺北市大安區和安里,大安區,和安里,7456,8545296,2470181,"2,134",7345,8433951,2298154,"2,123",7128,8420903,2535926,"2,075"
270,Polygon,139807.6192,6300300008,臺北市大安區昌隆里,大安區,昌隆里,3149,2399536,NA,NA,3138,2162355,40,1,3089,2170458,41,2
365,Polygon,110962.8106,6300300034,臺北市大安區法治里,大安區,法治里,4607,2219923,12665,5,4548,1895289,14197,7,4457,1883358,13587,8
387,Polygon,195223.0312,6300300039,臺北市大安區臥龍里,大安區,臥龍里,2314,1285448,26188,6,2434,1231096,22556,7,2402,1369999,25323,9
391,Polygon,275461.7613,6300300044,臺北市大安區芳和里,大安區,芳和里,5891,2287800,2155822,"2,076",5840,1956786,2091988,"2,070",5780,1977229,2275411,"2,065"
