"Area","District","X2018income","X2018power","X2018datanum","X2019income","X2019power","X2019datanum","X2020income","X2020power","X2020datanum","power_per_house_2018","power_per_house_2019","power_per_house_2020"
"大安區","正聲里",4349429,2277417,1698,3634928,2305784,1690,3685411,2527781,1683,1341.23498233216,1364.36923076923,1501.94949494949
"大安區","民炤里",8284604,3991187,3088,7839933,3729345,3086,6901427,4172131,3084,1292.48283678756,1208.47213220998,1352.83106355383
"大安區","民輝里",6805147,179179,101,6393329,200219,108,6149518,183935,108,1774.0495049505,1853.87962962963,1703.10185185185
"大安區","永康里",2340381,1554439,1303,2116148,1458348,1303,2102044,1602975,1298,1192.96930161167,1119.22333077513,1234.95762711864
"大安區","光明里",3791567,1393344,1225,4070907,1320878,1227,3891090,1446299,1222,1137.42367346939,1076.51018744906,1183.55073649754
"大安區","光武里",4255713,23162,9,3786820,30316,11,3985468,27245,14,2573.55555555556,2756,1946.07142857143
"大安區","光信里",4596455,2028352,1551,4052712,2021448,1554,4249239,2206085,1553,1307.77047066409,1300.80308880309,1420.53122987766
"大安區","全安里",3012821,16201,6,3152895,20833,7,2816718,22673,9,2700.16666666667,2976.14285714286,2519.22222222222
"大安區","住安里",3028312,1666026,1670,2942574,1580350,1638,2675256,1688595,1621,997.620359281437,964.80463980464,1041.6995681678
"大安區","車層里",4678164,36261,15,4076314,35311,15,3910569,39464,19,2417.4,2354.06666666667,2077.05263157895
"大安區","和安里",8545296,2470181,2134,8433951,2298154,2123,8420903,2535926,2075,1157.53561387067,1082.50306170513,1222.13301204819
"大安區","法治里",2219923,12665,5,1895289,14197,7,1883358,13587,8,2533,2028.14285714286,1698.375
"大安區","臥龍里",1285448,26188,6,1231096,22556,7,1369999,25323,9,4364.66666666667,3222.28571428571,2813.66666666667
"大安區","芳和里",2287800,2155822,2076,1956786,2091988,2070,1977229,2275411,2065,1038.44990366089,1010.62222222222,1101.89394673123
"大安區","虎嘯里",2366684,2083303,1722,2067540,2005696,1720,2112447,2172984,1715,1209.81591173055,1166.1023255814,1267.04606413994
"大安區","建安里",3509039,36384,10,3120623,43798,15,2945789,43372,20,3638.4,2919.86666666667,2168.6
"大安區","建倫里",4983939,16459,4,5485950,29444,8,4998989,35392,12,4114.75,3680.5,2949.33333333333
"大安區","通化里",2520957,32098,18,2194167,36669,20,2255831,39722,22,1783.22222222222,1833.45,1805.54545454545
"大安區","通安里",2426028,13513,3,2012974,18720,8,2048689,14068,9,4504.33333333333,2340,1563.11111111111
"大安區","敦安里",6279246,7249,5,5638635,6051,4,5370092,11782,7,1449.8,1512.75,1683.14285714286
"大安區","敦煌里",4690295,19018,4,3816954,19196,4,3784420,18004,4,4754.5,4799,4501
"大安區","華聲里",2389779,2103895,1585,2169700,2080563,1585,2982510,2278054,1580,1327.3785488959,1312.65804416404,1441.80632911392
"大安區","新龍里",3632040,2821,3,3425470,2610,2,3442757,2684,2,940.333333333333,1305,1342
"大安區","義安里",3231932,5896,3,2849750,5785,2,2757555,10848,4,1965.33333333333,2892.5,2712
"大安區","義村里",3575921,6062,3,3130340,4534,2,3347054,6302,4,2020.66666666667,2267,1575.5
"大安區","群英里",5727453,2392163,2530,4940211,2337992,2527,4786489,2544795,2521,945.518972332016,925.204590423427,1009.43871479572
"大安區","群賢里",3428483,2129594,1773,3242389,2067969,1762,3228249,2269100,1761,1201.12464749013,1173.64869466515,1288.5292447473
"大安區","誠安里",1944828,856720,770,1689131,817120,767,1760764,860589,762,1112.62337662338,1065.34550195567,1129.38188976378
"大安區","福住里",4301057,8756,5,3885963,9296,5,4210296,9353,5,1751.2,1859.2,1870.6
"大安區","德安里",4121708,2712310,2176,3669639,2590436,2174,3604000,2800348,2161,1246.46599264706,1191.55289788408,1295.85747339195
"大安區","黎元里",1605035,1375060,1322,1250284,1315448,1321,1292652,1455653,1322,1040.13615733737,995.79712339137,1101.09909228442
"大安區","黎孝里",2989662,3068417,2818,2484236,3003435,2817,2376157,3228683,2813,1088.86337828247,1066.1821086262,1147.77212939922
"大安區","黎和里",2024392,1870637,1953,1656204,1816802,1923,1621763,1920114,1853,957.827444956477,944.77483099324,1036.21910415542
"大安區","學府里",896484,278235,269,789984,263189,269,711565,286375,267,1034.33085501859,978.397769516729,1072.56554307116
"大安區","錦安里",4683022,874509,840,4252909,832280,840,3951818,958983,840,1041.08214285714,990.809523809524,1141.64642857143
"大安區","錦泰里",2185101,1691,1,1955206,1843,1,1972140,1884,1,1691,1843,1884
"大安區","錦華里",3675428,9853,4,3427073,9696,4,3514601,7623,4,2463.25,2424,1905.75
"大安區","龍生里",4147457,2217,1,3608105,4516,2,3621894,3982,2,2217,2258,1991
"大安區","龍安里",5330796,2315192,1933,4823220,2147712,1936,5491921,2429126,1931,1197.71960682876,1109.35537190083,1257.96271361989
"大安區","龍坡里",3524484,1939587,1837,3109856,1684524,1836,3049464,2123148,1810,1055.84485574306,917.496732026144,1173.00994475138
"大安區","龍門里",3171351,4107,2,2766687,3241,1,2931159,3907,2,2053.5,3241,1953.5
"大安區","龍泉里",2685622,9566,3,2455037,16909,4,2585695,17594,6,3188.66666666667,4227.25,2932.33333333333
"大安區","龍陣里",2075059,20614,10,1896651,29105,12,1990678,17300,9,2061.4,2425.41666666667,1922.22222222222
"大安區","龍淵里",5262553,37336,9,4460061,31197,10,4635305,35598,11,4148.44444444444,3119.7,3236.18181818182
